SPN, Date, Formula, Base Rate, Rate, IBB, Accrued Interest, Version, Call Type
82672ACM,12/17/13,A,1.25,1.0,-44612.5,0.0,2013-12-17 19:14:29.204475,*ALL
82673ACM,12/17/13,B,1.25,1.0,6798341.07,78180.92,2013-12-17 19:14:29.204475,*ALL
82682ACM,12/17/13,C,1.25,1.0,1314980.82,13807.3,2013-12-17 19:14:29.204475,*ALL
82684ACM,12/17/13,D,1.25,1.0,143500.0,1363.25,2013-12-17 19:14:29.204475,*ALL
82714ACM,12/17/13,E,1.25,1.0,267748.78,2008.12,2013-12-17 19:14:29.204475,*ALL
82734ACM,12/17/13,F,1.25,1.0,120520.32,1205.2,2013-12-17 19:14:29.204475,*ALL
82747ACM,12/17/13,A,1.25,1.0,144625.51,1663.19,2013-12-17 19:14:29.204475,*ALL
82763ACM,12/17/13,B,1.25,1.0,2538.21,26.65,2013-12-17 19:14:29.204475,*ALL
82778ACM,12/17/13,C,1.25,1.0,28200.36,267.9,2013-12-17 19:14:29.204475,*ALL
82779ACM,12/17/13,D,1.25,1.0,163363.0,1225.22,2013-12-17 19:14:29.204475,*ALL
82781ACM,12/17/13,E,1.25,1.0,12969.97,129.7,2013-12-17 19:14:29.204475,*ALL
82803ACM,12/17/13,F,1.25,1.0,4776972.89,54935.19,2013-12-17 19:14:29.204475,*ALL
82804ACM,12/17/13,A,1.25,1.0,179437.5,1884.09,2013-12-17 19:14:29.204475,*ALL
82809AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82831ACM,12/17/13,C,1.25,1.0,-78974.89,0.0,2013-12-17 19:14:29.204475,*ALL
82834ACM,12/17/13,D,1.25,1.0,67740.0,677.4,2013-12-17 19:14:29.204475,*ALL
82836ACM,12/17/13,E,1.25,1.0,304491.0,3501.65,2013-12-17 19:14:29.204475,*ALL
82842ACM,12/17/13,F,1.25,1.0,408383.0,4288.02,2013-12-17 19:14:29.204475,*ALL
82845ACM,12/17/13,A,1.25,1.0,13203.06,125.43,2013-12-17 19:14:29.204475,*ALL
82865AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82866ACM,12/17/13,C,1.25,1.0,16635.91,166.36,2013-12-17 19:14:29.204475,*ALL
82893ACM,12/17/13,D,1.25,1.0,29150.0,335.23,2013-12-17 19:14:29.204475,*ALL
82894ACM,12/17/13,E,1.25,1.0,9367.18,98.36,2013-12-17 19:14:29.204475,*ALL
82896ACM,12/17/13,F,1.25,1.0,-126025.0,0.0,2013-12-17 19:14:29.204475,*ALL
82915ACM,12/17/13,A,1.25,1.0,-40962.5,0.0,2013-12-17 19:14:29.204475,*ALL
82934ACM,12/17/13,B,1.25,1.0,225139.05,2251.39,2013-12-17 19:14:29.204475,*ALL
83016ACM,12/17/13,C,1.25,1.0,-453203.73,0.0,2013-12-17 19:14:29.204475,*ALL
83040ACM,12/17/13,D,1.25,1.0,27794.78,291.85,2013-12-17 19:14:29.204475,*ALL
83050ACM,12/17/13,E,1.25,1.0,379362.22,3603.94,2013-12-17 19:14:29.204475,*ALL
83060ACM,12/17/13,F,1.25,1.0,219044.37,1642.83,2013-12-17 19:14:29.204475,*ALL
83073ACM,12/17/13,A,1.25,1.0,-2395404.39,0.0,2013-12-17 19:14:29.204475,*ALL
83084ACM,12/17/13,B,1.25,1.0,-3006350.3,0.0,2013-12-17 19:14:29.204475,*ALL
83099ACM,12/17/13,C,1.25,1.0,5338.96,56.06,2013-12-17 19:14:29.204475,*ALL
83134ACM,12/17/13,D,1.25,1.0,16133500.0,153268.25,2013-12-17 19:14:29.204475,*ALL
83137ACM,12/17/13,E,1.25,1.0,-5943483.35,0.0,2013-12-17 19:14:29.204475,*ALL
83159ACM,12/17/13,F,1.25,1.0,-870529.88,0.0,2013-12-17 19:14:29.204475,*ALL
83166ACM,12/17/13,A,1.25,1.0,-468930.0,0.0,2013-12-17 19:14:29.204475,*ALL
83167ACM,12/17/13,B,1.25,1.0,4147349.21,43547.17,2013-12-17 19:14:29.204475,*ALL
83173ACM,12/17/13,C,1.25,1.0,16465.0,156.42,2013-12-17 19:14:29.204475,*ALL
83177ACM,12/17/13,D,1.25,1.0,4000.0,30.0,2013-12-17 19:14:29.204475,*ALL
83178ACM,12/17/13,E,1.25,1.0,610.0,6.1,2013-12-17 19:14:29.204475,*ALL
83180ACM,12/17/13,F,1.25,1.0,5140.0,59.11,2013-12-17 19:14:29.204475,*ALL
83253ACM,12/17/13,A,1.25,1.0,5525.66,58.02,2013-12-17 19:14:29.204475,*ALL
83254ACM,12/17/13,B,1.25,1.0,2749.98,26.12,2013-12-17 19:14:29.204475,*ALL
83273ACM,12/17/13,C,1.25,1.0,3785.0,28.39,2013-12-17 19:14:29.204475,*ALL
83307ACM,12/17/13,D,1.25,1.0,14810.0,148.1,2013-12-17 19:14:29.204475,*ALL
83311ACM,12/17/13,E,1.25,1.0,348650.36,4009.48,2013-12-17 19:14:29.204475,*ALL
83314ACM,12/17/13,F,1.25,1.0,-28132.63,0.0,2013-12-17 19:14:29.204475,*ALL
83316ACM,12/17/13,A,1.25,1.0,2392.5,22.73,2013-12-17 19:14:29.204475,*ALL
83320ACM,12/17/13,B,1.25,1.0,129000.21,967.5,2013-12-17 19:14:29.204475,*ALL
83321ACM,12/17/13,C,1.25,1.0,1268470.21,12684.7,2013-12-17 19:14:29.204475,*ALL
83343ACM,12/17/13,D,1.25,1.0,289100.0,3324.65,2013-12-17 19:14:29.204475,*ALL
83344AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
83345ACM,12/17/13,F,1.25,1.0,177964.38,1690.66,2013-12-17 19:14:29.204475,*ALL
83369ACM,12/17/13,A,1.25,1.0,475782.58,3568.37,2013-12-17 19:14:29.204475,*ALL
83378ACM,12/17/13,B,1.25,1.0,28186.0,281.86,2013-12-17 19:14:29.204475,*ALL
83450ACM,12/17/13,C,1.25,1.0,-2669261.03,0.0,2013-12-17 19:14:29.204475,*ALL
83451ACM,12/17/13,D,1.25,1.0,1414000.0,14847.0,2013-12-17 19:14:29.204475,*ALL
83475ACM,12/17/13,E,1.25,1.0,77461092.04,735880.37,2013-12-17 19:14:29.204475,*ALL
83479ACM,12/17/13,F,1.25,1.0,-725436.94,0.0,2013-12-17 19:14:29.204475,*ALL
83489AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
83496ACM,12/17/13,B,1.25,1.0,2421150.14,27843.23,2013-12-17 19:14:29.204475,*ALL
83498AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
83499ACM,12/17/13,D,1.25,1.0,2467680.0,23442.96,2013-12-17 19:14:29.204475,*ALL
83537ACM,12/17/13,E,1.25,1.0,-1110395.62,0.0,2013-12-17 19:14:29.204475,*ALL
83559ACM,12/17/13,F,1.25,1.0,4112.5,41.13,2013-12-17 19:14:29.204475,*ALL
