"33662ACM","12-20-2013","USD",400389,3176678.86,3577067.86,675000,2902067.86,,
"33664ACM","12-20-2013","GBP",-86851.9,577250.37,490398.47,235763,254635.47,,
"33666ACM","12-20-2013","USD",184374.5,1199452.82,1383827.32,272500,1111327.32,,
"33678ACM","12-20-2013","GBP",63656.04,59676.87,123332.91,61950,61382.91,,
"33681ACM","12-20-2013","USD",15226.37,1005821.55,1021047.92,35100,985947.92,,
"33682ACM","12-20-2013","GBP",1346.84,-981.23,365.61,26025,365.61,,
"33684ACM","12-20-2013","USD",-87071.82,121625.16,34553.34,74418.92,-39865.58,,
"33685ACM","12-20-2013","GBP",298960,1216958.5,1515918.5,373100,1142818.5,,
"33689ACM","12-20-2013","USD",-254804.92,18764198.14,18509393.22,16984357,1525036.22,,
"33731ACM","12-20-2013","GBP",2067307.75,-342633.15,1724674.6,4104875,1724674.6,,
"33746ACM","12-20-2013","USD",162550,-81747.5,80802.5,506250,80802.5,,
"33770AC ","12-20-2013","GBP",2217956,1762247.75,3980203.75,2507500,1472703.75,,
"33771AC ","12-20-2013","USD",782808,1895124.01,2677932.01,885000,1792932.01,,
"33814ACM","12-20-2013","GBP",-507309.6,6429872.76,5922563.16,5834125,88438.16,,
"33819ACM","12-20-2013","USD",160436.73,1347148.07,1507584.8,491113,1016471.8,,
"33821AC ","12-20-2013","GBP",-6082.5,184119.84,178037.34,32800,145237.34,,
"33822AC ","12-20-2013","USD",-3060,147935.89,144875.89,25200,119675.89,,
"33823AC ","12-20-2013","GBP",-10865,265117.81,254252.81,137200,117052.81,,
"33829AC ","12-20-2013","USD",-31317.5,458162.05,426844.55,278800,148044.55,,
"33835ACM","12-20-2013","GBP",835716.82,13644534.45,14480251.27,1381725,13098526.27,,
"33837AC ","12-20-2013","USD",489500,16846073.63,17335573.63,5744700,11590873.63,,
"33852AC ","12-20-2013","GBP",58012.83,43649.44,101662.27,102225,-562.73,,
"33866ACM","12-20-2013","USD",-7150,722900,715750,717500,-1750,,
"33867ACM","12-20-2013","GBP",-3300,657700,654400,656000,-1600,,
"33868ACM","12-20-2013","USD",15700.16,-19450.05,-3749.89,103100,-3749.89,,
"33875ACA","12-20-2013","GBP",-19014.24,-59796.71,-78810.95,55068.25,-133879.2,,
"33885AC ","12-20-2013","USD",-23850,192354.5,168504.5,292500,-123995.5,,
"33892ACM","12-20-2013","GBP",-18800,665145.92,646345.92,93600,552745.92,,
"33968ACM","12-20-2013","USD",7281.24,-14765.58,-7484.34,9500,-16984.34,,
"33984ACM","12-20-2013","GBP",-1801080.4,2858775.75,1057695.35,94467590,-93409894.65,,
"33987ACM","12-20-2013","USD",-16050,-8892,-24942,123000,-147942,,
"34002AC ","12-20-2013","GBP",-20000,1345550.35,1325550.35,19024,1306526.35,,
"34005ACM","12-20-2013","USD",-12250,251153.15,238903.15,195260,43643.15,,
"34034ACM","12-20-2013","GBP",-69640.11,556293.5,486653.39,73125,413528.39,,
"34105ACM","12-20-2013","USD",-515625,1593250.26,1077625.26,2050000,-107743.82,,
"34111ACM","12-20-2013","GBP",-470312,593906.04,123594.04,885000,-761405.96,,
"34115ACM","12-20-2013","USD",1069998.5,-4557862.85,-3487864.35,2547000,-6034864.35,,
"34116ACM","12-20-2013","GBP",16226280,42840189.41,59066469.41,7404000,51662469.41,,
"34117ACM","12-20-2013","USD",916644,0,916644,645000,271644,,
"34137AC ","12-20-2013","GBP",-1259365.82,2995936.26,1736570.44,2250900,-514329.56,,
"34141ACM","12-20-2013","USD",1954054.34,-2492984.17,-538929.83,2759651,-3298580.83,,
"34144ACM","12-20-2013","GBP",398235.95,-169515.35,228720.6,564985,-336264.4,,
"34149AC ","12-20-2013","USD",-11929.71,114428.68,102498.97,21745.5,80753.47,,
"34153ACM","12-20-2013","GBP",3945520.4,131431.8,4076952.2,3464500,612452.2,,
"34154ACM","12-20-2013","USD",788725.64,603827.41,1392553.05,1534520,-141966.95,,
"34156ACM","12-20-2013","GBP",394400,-46750,347650,348500,-850,,
"34162ACM","12-20-2013","USD",-4220,57932.46,53712.46,32800,20912.46,,
"34167ACM","12-20-2013","GBP",6300,138417.41,144717.41,9000,135717.41,,
